latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.76367,133.68462,305.72,1.72,1.29,2025-06-26,0039,T,42,6.1NRT,293.01,7.74,D
-13.58643,132.16328,310.64,1.33,1.14,2025-06-26,0039,T,63,6.1NRT,294.57,8.71,D
-13.5981,132.17401,309.85,1.34,1.15,2025-06-26,0039,T,44,6.1NRT,293.63,7.63,D
-13.54732,131.48048,331.55,1.21,1.09,2025-06-26,0039,T,86,6.1NRT,298.06,36.14,D
-13.54881,131.49161,313.94,1.21,1.1,2025-06-26,0039,T,69,6.1NRT,295.64,11.78,D
-13.9416,134.56583,311.82,2.02,1.38,2025-06-26,0039,T,67,6.1NRT,292.82,18.86,D
-13.94532,134.55954,310.57,2.02,1.38,2025-06-26,0039,T,44,6.1NRT,292.61,16.23,D
-13.78304,132.9101,304.85,1.51,1.21,2025-06-26,0039,T,32,6.1NRT,291.13,5.78,D
-13.6119,130.87923,349.16,1.13,1.06,2025-06-26,0039,T,95,6.1NRT,298.73,66.26,D
-13.61327,130.88942,314.65,1.13,1.06,2025-06-26,0039,T,36,6.1NRT,295.88,9.54,D
-13.62401,130.89835,325,1.13,1.06,2025-06-26,0039,T,75,6.1NRT,297.38,20.97,D
-13.65077,130.88434,334.48,1.13,1.06,2025-06-26,0039,T,88,6.1NRT,299.04,35.61,D
-13.59816,130.3645,326.63,1.08,1.04,2025-06-26,0039,T,82,6.1NRT,299.08,24.28,D
-13.5995,130.37421,321.67,1.08,1.04,2025-06-26,0039,T,78,6.1NRT,298.46,18.2,D
-13.67056,130.77185,321.92,1.12,1.05,2025-06-26,0039,T,78,6.1NRT,296.55,17.63,D
-13.67988,130.77057,325.01,1.12,1.05,2025-06-26,0039,T,66,6.1NRT,297.59,20.23,D
-13.57509,129.93349,310.18,1.04,1.02,2025-06-26,0039,T,62,6.1NRT,297.25,6.65,D
-13.69991,130.77821,315.38,1.12,1.06,2025-06-26,0039,T,59,6.1NRT,297.94,9.9,D
-13.70899,130.70528,313.3,1.11,1.05,2025-06-26,0039,T,68,6.1NRT,298.14,9.14,D
-13.77512,131.05098,318.5,1.16,1.07,2025-06-26,0039,T,75,6.1NRT,298.85,15.24,D
-13.77939,131.08243,315.82,1.16,1.07,2025-06-26,0039,T,67,6.1NRT,296.72,12.53,D
-13.80692,130.81953,313.99,1.13,1.06,2025-06-26,0039,T,69,6.1NRT,297.72,8.91,D
-13.96519,131.70644,308.82,1.26,1.12,2025-06-26,0039,T,55,6.1NRT,296.28,6.92,D
-14.0081,131.87143,311.39,1.29,1.13,2025-06-26,0039,T,45,6.1NRT,297.3,9.06,D
-14.01808,131.87012,331.24,1.29,1.13,2025-06-26,0039,T,86,6.1NRT,297.5,38.83,D
-14.0196,131.88185,323.45,1.3,1.13,2025-06-26,0039,T,80,6.1NRT,297.63,24.93,D
-14.02414,131.91714,314.84,1.3,1.13,2025-06-26,0039,T,70,6.1NRT,296.89,12.14,D
-14.02567,131.92899,328.72,1.31,1.13,2025-06-26,0039,T,84,6.1NRT,298.12,33,D
-14.03569,131.92764,318.75,1.31,1.13,2025-06-26,0039,T,75,6.1NRT,296.88,17.59,D
-14.633,134.66061,307.41,2.1,1.41,2025-06-26,0039,T,58,6.1NRT,293.01,14.82,D
-14.22672,129.65379,308.43,1.03,1.02,2025-06-26,0039,T,48,6.1NRT,297.03,4.87,D
-14.91376,134.95381,334.27,2.23,1.45,2025-06-26,0039,T,88,6.1NRT,278.89,105.78,D
-14.9266,134.95251,342.58,2.23,1.45,2025-06-26,0039,T,92,6.1NRT,280.29,148.05,D
-14.92902,134.97275,313.87,2.24,1.45,2025-06-26,0039,T,65,6.1NRT,276.38,33,D
-14.25348,129.64395,308.33,1.03,1.02,2025-06-26,0039,T,54,6.1NRT,297.25,4.84,D
-14.25477,129.65329,307.23,1.03,1.02,2025-06-26,0039,T,50,6.1NRT,296.09,4.31,D
-14.91336,134.94835,327.61,2.23,1.45,2025-06-26,0039,T,84,6.1NRT,278.32,78.51,D
-14.91561,134.96869,316.53,2.24,1.45,2025-06-26,0039,T,74,6.1NRT,277.21,42.39,D
-14.92619,134.94696,337.31,2.23,1.45,2025-06-26,0039,T,90,6.1NRT,279.15,119.83,D
-14.92846,134.96724,325.78,2.24,1.45,2025-06-26,0039,T,83,6.1NRT,278.43,71.19,D
-14.68311,132.69206,315.38,1.5,1.21,2025-06-26,0039,T,69,6.1NRT,295.84,17.55,D
-14.34036,129.67276,309.52,1.04,1.02,2025-06-26,0039,T,60,6.1NRT,296.97,6.41,D
